Producto,Producción/Valor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CÁÑAMO TÉXTIL (3),Valor,..,..,..,"133,0","76,0","370,0","252,0","456,0","1.117,0","887,0","450,0","190,0","299,0","190,0","213.120,0","164.707,0",..,..,..,..,..
MANDARINO, Producción,"1.575,5","1.340,3","1.521,4","1.631,0","1.784,8","1.686,7","1.503,8","1.997,6","1.760,1","2.033,8","1.801,9","1.758,3","2.068,1","2.060,4","2.459,8","1.956,9","2.508,0","1.987,4","2.227,9","2.000,1","2.196,9"
GIRASOL,Valor,"453.743,8","385.332,9","130.285,2","262.727,6","202.264,9","131.033,4","212.857,1","259.506,0","278.618,9","136.815,2","160.451,9","222.576,5","201.567,4","165.086,4","188.718,0","96.272,0","146.387,0","289.083,0","337.817,1","195.820,4","309.454,0"
CEBOLLA,Producción,"1.100,8","1.019,3","1.020,1","884,5","1.008,6","977,2","967,1","932,4","970,2","981,4","959,7","991,5","1.034,2","936,8","1.030,4","1.006,1","1.099,6","1.184,3","1.062,5","1.256,3","1.105,1"
SOJA,Valor,..,..,"4.085,0","245,0","1.486,0","926,0","1.849,0","1.648,0","2.132,0","1.918,0","1.423,0","1.564,0","301,0","134,0","93,0","603,0","325,0","225,0","204,2","853,6","592,0"
AVENA,Producción,"511,6","403,6","313,1","431,1","413,9","231,4","664,3","521,0","725,6","538,1","953,7","665,2","880,7","880,5","1.043,0","542,1","948,1","1.309,9","1.188,3","924,0","1.024,7"
COLZA,Valor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARROZ,Producción,"569,9","581,8","552,6","317,8","407,6","329,5","734,0","775,6","796,3","817,3","827,1","876,1","818,9","861,3","900,4","824,1","724,4","723,4","634,0","913,8","927,8"
PIMIENTO PARA PIMENTÓN,Valor,"30.104,0","23.200,0","20.256,0","23.417,0","14.969,0","17.043,0","14.745,0","20.613,0","22.775,0","29.933,0","26.226,0","23.689,0","17.365,0","10.839,0","18.642,0","21.763,0","20.516,0","14.247,0","17.258,8","17.665,3","18.201,0"
MELÓN,Producción,"947,2","915,5","864,9","852,8","877,3","860,2","967,9","984,8","1.020,0","1.149,8","1.068,0","1.038,0","1.101,8","1.071,2","1.071,2","1.086,7","1.087,9","1.183,2","1.042,4","984,8","926,7"
AZAFRÁN,Valor,"13.351,0","12.543,0","6.650,0","6.817,0","4.626,0","3.585,0","3.350,0","4.202,0","4.825,0","4.880,0","2.619,0","2.807,0","3.301,0","4.150,0","1.374,0","1.076,0","1.745,0","1.899,0","3.257,2","5.000,5","7.014,0"
PIMIENTO,Producción,"900,5","731,6","755,3","733,8","742,6","790,5","867,7","893,3","890,1","939,2","946,7","979,2","1.056,8","1.056,2","1.075,5","1.060,4","1.147,8","1.057,5","918,1","929,3","873,0"
TABACO,Valor,"89.792,9","106.925,4","99.052,2","97.612,4","114.466,4","114.817,6","123.767,4","130.240,7","126.977,0","95.761,4","21.325,6","18.221,8","18.844,0","33.544,2","21.601,0","21.397,0","16.864,0","16.186,0","20.011,5","33.141,4","70.384,8"
GIRASOL,Producción,"1.312,3","1.025,5","1.343,1","1.309,2","978,6","587,5","1.177,8","1.284,3","1.190,2","643,6","919,0","870,8","771,1","762,5","820,9","381,3","662,1","733,2","872,7","869,5","846,6"
LÚPULO,Valor,"5.868,0","5.253,0","3.720,0","6.086,0","5.962,0","4.941,0","3.670,0","3.094,0","3.984,0","4.563,0","4.250,0","4.509,0","3.425,0","7.036,0","7.218,0","3.960,0","3.519,0","3.185,0","4.045,9","4.841,9","195.907,0"
LECHUGA,Producción,"985,0","1.007,1","963,4","953,5","924,3","898,5","923,6","1.034,3","1.018,5","1.045,2","1.014,6","994,2","1.037,1","956,8","1.041,6","991,9","985,9","947,6","889,2","853,0","809,4"
MANZANO,Valor,"214.604,0","201.237,0","256.690,0","199.737,0","186.445,0","212.158,0","205.571,0","217.153,0","195.207,0","260.962,0","175.877,0","215.408,0","222.204,0","311.191,0","217.284,0","196.262,0","192.254,0","272.750,0","225.184,7","156.816,0","191.488,0"
