Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2001,724,2,56,"H1","080711",8,6178863,6178863,2196527,0
2001,724,2,70,"H1","080711",8,15671,15671,3697,0
2001,724,1,76,"H1","080711",8,292406,292406,196321,0
2001,724,2,112,"H1","080711",8,6638,6638,474,0
2001,724,1,188,"H1","080711",8,1467368,1467368,851852,0
2001,724,2,191,"H1","080711",8,74584,74584,21789,0
2001,724,2,203,"H1","080711",8,6835342,6835342,1812586,0
2001,724,2,208,"H1","080711",8,6623727,6623727,2048069,0
2001,724,1,218,"H1","080711",8,627988,627988,440975,0
2001,724,2,233,"H1","080711",8,31045,31045,8990,0
2001,724,2,246,"H1","080711",8,7010740,7010740,2572163,0
2001,724,1,251,"H1","080711",8,713814,713814,211742,0
2001,724,2,251,"H1","080711",8,64155431,64155431,19836291,0
2001,724,1,276,"H1","080711",8,6836,6836,779,0
2001,724,2,276,"H1","080711",8,124905067,124905067,38741691,0
2001,724,2,292,"H1","080711",8,53104,53104,20859,0
2001,724,2,300,"H1","080711",8,23920,23920,7153,0
2001,724,1,320,"H1","080711",8,2082,2082,1306,0
2001,724,1,340,"H1","080711",8,1987,1987,1216,0
2001,724,2,348,"H1","080711",8,1439473,1439473,432509,0
2001,724,2,372,"H1","080711",8,247941,247941,60060,0
2001,724,1,381,"H1","080711",8,5263,5263,5537,0
2001,724,2,381,"H1","080711",8,8364970,8364970,2787160,0
2001,724,2,428,"H1","080711",8,107477,107477,34289,0
2001,724,2,440,"H1","080711",8,70439,70439,26795,0
2001,724,2,442,"H1","080711",8,48001,48001,23665,0
2001,724,1,504,"H1","080711",8,234399,234399,36005,0
2001,724,1,528,"H1","080711",8,456761,456761,241741,0
2001,724,2,528,"H1","080711",8,21751869,21751869,6753204,0
2001,724,2,579,"H1","080711",8,6728930,6728930,2056323,0
2001,724,1,591,"H1","080711",8,1156304,1156304,651161,0
2001,724,1,604,"H1","080711",8,564544,564544,367741,0
2001,724,2,616,"H1","080711",8,11788228,11788228,4016680,0
2001,724,1,620,"H1","080711",8,18002,18002,3099,0
2001,724,2,620,"H1","080711",8,10595693,10595693,3663313,0
2001,724,2,642,"H1","080711",8,57050,57050,6579,0
2001,724,2,643,"H1","080711",8,58523,58523,22929,0
